Root,Chord Name,Notes
Ab,maj,G#-C-Eb
Ab,m,G#-B-Eb
Ab,6,G#-C-Eb-F
Ab,9,G#-C-Eb-F#-Bb
Ab,dim,G#-B-D
Ab,13,G#-C-Eb-F#-Bb-C#-F
A,maj,A-C#-E
A,m,A-C-E
A,6,A-C#-E-F#
A,9,A-C#-E-G-B
A,dim,A-C-Eb
A,13,A-C#-E-G-B-D-F#
A#,maj,Bb-D-F
A#,m,Bb-C#-F
A#,6,Bb-D-F-G
A#,9,Bb-D-F-G#-C
A#,dim,Bb-C#-E
A#,13,Bb-D-F-G#-C-Eb-G
Bb,maj,Bb-D-F
Bb,m,Bb-C#-F
Bb,6,Bb-D-F-G
Bb,9,Bb-D-F-G#-C
Bb,dim,Bb-C#-E
Bb,13,Bb-D-F-G#-C-Eb-G
B,maj,B-Eb-F#
B,m,B-D-F#
B,6,B-Eb-F#-G#
B,9,B-Eb-F#-A-C#
B,dim,B-D-E
B,13,B-Eb-F#-A-C#-E-G#
C,maj,C-E-G
C,m,C-Eb-G
C,6,C-E-G-A
C,9,C-E-G-Bb-D
C,dim,C-Eb-F#
C,13,C-E-G-Bb-D-F-A
C#,maj,C#-F-G#
C#,m,C#-E-G#
C#,6,C#-F-G#-Bb
C#,9,C#-F-G#-B-Eb
C#,dim,C#-E-G
C#,13,C#-F-G#-B-Eb-F#-Bb
Db,maj,C#-F-G#
Db,m,C#-E-G#
Db,6,C#-F-G#-Bb
Db,9,C#-F-G#-B-Eb
Db,dim,C#-E-G
Db,13,C#-F-G#-B-Eb-F#-Bb
D,maj,D-F#-A
D,m,D-F-A
D,6,D-F#-A-B
D,9,D-F#-A-C-E
D,dim,D-F-G#
D,13,D-F#-A-C-E-G-B
D#,maj,Eb-G-Bb
D#,m,Eb-F#-Bb
D#,6,Eb-G-Bb-C
D#,9,Eb-G-Bb-C#-F
D#,dim,Eb-F#-A
D#,13,Eb-G-Bb-C#-F-G#-C
Eb,maj,Eb-G-Bb
Eb,m,Eb-F#-Bb
Eb,6,Eb-G-Bb-C
Eb,9,Eb-G-Bb-C#-F
Eb,dim,Eb-F#-A
Eb,13,Eb-G-Bb-C#-F-G#-C
E,maj,E-G#-B
E,m,E-G-B
E,6,E-G#-B-C#
E,9,E-G#-B-D-F#
E,dim,E-G-Bb
E,13,E-G#-B-D-F#-A-C#
F,maj,F-A-C
F,m,F-G#-C
F,6,F-A-C-D
F,9,F-A-C-Eb-G
F,dim,F-G#-B
F,13,F-A-C-Eb-G-Bb-D
F#,maj,F#-Bb-C#
F#,m,F#-A-C#
F#,6,F#-Bb-C#-Eb
F#,9,F#-Bb-C#-E-G#
F#,dim,F#-A-C
F#,13,F#-Bb-C#-E-G#-B-Eb
Gb,maj,F#-Bb-C#
Gb,m,F#-A-C#
Gb,6,F#-Bb-C#-Eb
Gb,9,F#-Bb-C#-E-G#
Gb,dim,F#-A-C
Gb,13,F#-Bb-C#-E-G#-B-Eb
G,maj,G-B-D
G,m,G-Bb-D
G,6,G-B-D-E
G,9,G-B-D-F-A
G,dim,G-Bb-C#
G,13,G-B-D-F-A-C-E
G#,maj,G#-C-Eb
G#,m,G#-B-Eb
G#,6,G#-C-Eb-F
G#,9,G#-C-Eb-F#-Bb
G#,dim,G#-B-D
G#,13,G#-C-Eb-F#-Bb-C#-F
